Euler Implicito Punto C4.txt
SOLUCION PARA EULER IMPLICITO 
Paso = 1.00
Año: 1
U0 = 1.260000  T = 0.0  MES = 1.0
U164 = 3.034755  T = 164.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U165 = 2.813758  T = 165.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U166 = 2.626017  T = 166.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U167 = 2.466292  T = 167.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 15
U168 = 2.710702  T = 168.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U169 = 2.552146  T = 169.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U170 = 2.419894  T = 170.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U171 = 2.309450  T = 171.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U172 = 2.216999  T = 172.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U173 = 2.139437  T = 173.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U174 = 3.603154  T = 174.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U175 = 3.293828  T = 175.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U176 = 3.032409  T = 176.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U177 = 2.810896  T = 177.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U178 = 2.622830  T = 178.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U179 = 2.462919  T = 179.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 16
U180 = 2.708369  T = 180.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U181 = 2.548494  T = 181.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U182 = 2.415411  T = 182.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U183 = 2.304490  T = 183.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U184 = 2.211808  T = 184.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U185 = 2.134184  T = 185.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U186 = 3.602728  T = 186.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U187 = 3.292261  T = 187.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U188 = 3.030062  T = 188.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U189 = 2.808031  T = 189.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U190 = 2.619638  T = 190.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U191 = 2.459541  T = 191.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 17
U192 = 2.706042  T = 192.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U193 = 2.544832  T = 193.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U194 = 2.410910  T = 194.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U195 = 2.299509  T = 195.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U196 = 2.206596  T = 196.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U197 = 2.128911  T = 197.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U198 = 3.602315  T = 198.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U199 = 3.290698  T = 199.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U200 = 3.027713  T = 200.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U201 = 2.805162  T = 201.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U202 = 2.616441  T = 202.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U203 = 2.456157  T = 203.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 18
U204 = 2.703722  T = 204.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U205 = 2.541160  T = 205.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U206 = 2.406391  T = 206.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
